subject,unknown,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,fusiform,inferiorparietal,inferiortemporal,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,parahippocampal,paracentral,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,frontalpole,temporalpole,transversetemporal,insula
sub1,1589.0092,3644.6904,2179.6672,2422.4004,3947.1125,477.6508,2115.7505,4218.1309,1751.8516,2401.9775,3992.7915,1699.1942,2908.6973,1244.8162,2837.9426,1424.85,2333.1865,2466.125,2671.7671,2561.5417,3820.2922,2789.1272,2147.4678,2438.9854,3236.4404,2047.1859,3048.0771,2413.4189,3696.7539,2722.8704,3608.8472,2388.686,641.5004,2369.8684,2126.1494
sub1,371.5003,398.7426,120.4848,178.8624,580.8849,305.0262,1192.4103,790.3157,1710.1305,221.3663,1039.052,659.4673,587.9278,838.9231,1394.4181,620.8043,272.118,203.2432,258.459,240.5184,484.5266,302.7369,170.0707,246.2419,460.3885,489.1131,287.344,452.6282,532.6779,688.4839,626.4144,351.2018,384.2553,140.3287,150.517
sub1,274.6148,2888.2849,1911.8224,1259.1593,2865.7117,0.5028,19.2023,526.9918,-3.9461,1509.2078,710.361,256.8206,1737.5264,120.4356,72.0146,9.7725,1749.0691,1995.6237,2068.0471,1799.6069,2922.1523,1472.2778,1848.1874,1332.4476,2420.2703,1115.5897,1726.9271,875.3143,1242.0034,544.4001,2174.011,1452.9771,0.0,2114.1777,1207.2097
sub1,2450.5552,4778.8989,2546.6196,2949.7239,5119.2998,1534.5438,4729.8213,5740.3823,5085.9404,2932.7295,6112.6616,2841.3848,4712.2588,2997.9878,5363.1973,2484.6936,3131.0081,2940.9504,3544.6016,3136.0559,5544.0806,3697.2148,2612.1768,3275.1428,4657.5933,2667.1199,4041.4187,3859.3057,5238.8506,4975.7896,4968.6162,3115.6587,1618.8572,2752.843,2491.0493
sub1,2175.9404,1890.614,634.7972,1690.5646,2253.5881,1534.041,4710.6191,5213.3906,5089.8867,1423.5217,5402.3008,2584.5642,2974.7324,2877.5522,5291.1826,2474.9211,1381.939,945.3268,1476.5544,1336.449,2621.9282,2224.937,763.9894,1942.6952,2237.323,1551.5302,2314.4917,2983.9912,3996.8472,4431.3896,2794.6052,1662.6816,1618.8572,638.6653,1283.8396
sub1,5752.4,994.9,651.5,2140.6,1224.6,467.5,2698.9,4065.4,2789.9,965.6,4562.0,2126.3,2765.0,1514.8,2695.5,756.4,1301.7,1494.5,555.5,1112.2,1170.2,3999.6,1177.7,4600.5,3430.7,680.5,4766.6,6624.5,4984.4,3389.6,3636.4,200.7,471.0,432.6,2019.8
sub1,1647.2417,3298.8726,2284.3752,2562.8281,3457.6338,545.3823,2152.5823,3823.3992,1693.374,2269.7002,3559.6187,1576.5409,2668.8213,1407.6001,2868.8176,1592.0408,2270.3989,2554.3125,2601.2095,2679.2144,3516.3479,2797.6943,2140.0928,2490.5847,3012.3411,2078.7466,3008.0979,2510.824,3375.3711,2833.9875,3278.3735,2538.321,847.8541,2518.8477,2184.3804
sub1,358.8901,395.756,139.9066,177.4795,573.0032,308.4838,1054.8816,499.3749,1444.0283,198.9128,986.3448,672.3701,539.2267,869.1023,1052.5776,566.1902,236.748,241.2952,254.243,207.2642,571.5775,374.9226,139.9018,241.7647,415.0916,530.715,351.4482,441.121,513.9855,519.6743,489.9721,403.6857,448.2082,251.7931,161.151
sub1,682.1642,2603.3376,1980.0153,1527.4137,1012.838,47.6377,50.8212,1138.5941,-14.4793,1636.5986,103.9575,192.5309,1136.6572,102.6206,225.6965,81.6955,1574.772,1962.7814,1978.4572,2234.906,2492.8892,1373.6545,1739.0582,1654.7946,2100.7908,1075.8777,1039.6111,1152.5583,876.1655,927.5394,2144.8821,1375.3029,0.0,2000.837,1288.7866
sub1,2428.5168,4284.3286,2667.3569,3177.0469,5132.6143,1408.8259,4585.7456,4892.8477,4429.0913,2788.8589,5957.4219,2640.9922,4486.6196,3087.2222,4527.9214,2418.4475,2847.5315,3068.3711,3294.6689,3162.4722,5798.4565,4100.9473,2560.5723,3511.4307,4366.4463,2724.3877,4023.1792,3811.4744,4874.9893,4119.2529,4341.8149,3165.6987,1829.7861,3138.4307,2598.3799
sub1,1746.3527,1680.991,687.3417,1649.6332,4119.7764,1361.1882,4534.9243,3754.2534,4443.5708,1152.2603,5853.4644,2448.4614,3349.9624,2984.6016,4302.2251,2336.752,1272.7595,1105.5897,1316.2118,927.5662,3305.5674,2727.2927,821.514,1856.6361,2265.6555,1648.51,2983.5681,2658.916,3998.8237,3191.7136,2196.9329,1790.3959,1829.7861,1137.5936,1309.5933
sub1,5836.6,876.9,709.3,1996.8,1273.5,403.9,2562.0,4790.5,2642.6,876.2,4459.7,2180.8,2782.8,1511.5,2984.7,772.6,1534.0,1281.0,680.1,1265.2,1289.5,3828.1,1182.7,4673.9,3442.7,547.1,4953.1,6351.2,5018.3,3207.0,3387.9,258.0,447.4,303.3,1856.7
sub2,1637.3557,3305.3782,2080.28,2569.9392,4119.9355,851.4842,2323.25,4427.6685,1648.924,2490.4619,4450.8496,1742.5303,3307.7336,1341.9585,2343.6257,1649.4082,2044.7972,2752.4146,2706.9229,2864.3594,4262.2031,2621.9023,2098.3923,2470.6304,3064.8184,2070.9773,3221.0803,2387.9951,3554.2358,2643.1362,3454.4905,2833.3132,704.5319,2590.7922,2297.5791
sub2,360.2919,405.8176,115.1116,206.273,530.6682,491.1147,1285.4611,671.1233,1654.7211,268.7945,1244.8745,774.5802,813.1819,878.3872,1269.5865,621.4478,219.8601,285.4753,242.3275,246.7381,747.9419,392.7575,175.8334,430.7643,432.4375,539.7549,370.2486,536.0524,720.3601,600.2009,562.1073,212.4106,500.5827,207.8481,214.1065
sub2,567.808,2321.7678,1824.4453,1833.8602,2476.0762,0.0,0.0,2069.386,0.0,1910.15,408.1624,178.7352,1652.1803,179.4428,82.8419,290.545,1438.0535,2117.1604,1888.2621,2303.019,3029.6465,906.6015,1818.8644,1220.7511,1998.5083,999.2491,1697.366,1050.8562,2026.6621,534.3381,2167.0544,2203.7859,0.0,2244.531,1150.5638
sub2,2401.0037,4371.1792,2476.9031,3292.2869,5536.8403,1653.257,5362.6816,6359.4155,4981.5522,3129.6582,6927.0786,2894.3708,5714.8159,3137.6453,4956.6392,2496.7031,2572.8491,3404.4431,3405.1499,3527.9868,6389.3481,3679.5093,2605.0703,3825.2771,4603.314,2873.6943,4305.6265,4135.7144,5530.2246,4503.96,4617.8765,3510.9121,1666.1017,3148.9937,2729.2493
sub2,1833.1957,2049.4114,652.4578,1458.4266,3060.7642,1653.257,5362.6816,4290.0293,4981.5522,1219.5082,6518.916,2715.6357,4062.6357,2958.2024,4873.7974,2206.1582,1134.7957,1287.2827,1516.8878,1224.9678,3359.7017,2772.9077,786.2059,2604.5259,2604.8057,1874.4453,2608.2605,3084.8582,3503.5625,3969.6218,2450.822,1307.1262,1666.1017,904.4626,1578.6854
sub2,5752.4,994.9,651.5,2140.6,1224.6,467.5,2698.9,4065.4,2789.9,965.6,4562.0,2126.3,2765.0,1514.8,2695.5,756.4,1301.7,1494.5,555.5,1112.2,1170.2,3999.6,1177.7,4600.5,3430.7,680.5,4766.6,6624.5,4984.4,3389.6,3636.4,200.7,471.0,432.6,2019.8
sub2,1713.9125,3263.0515,2215.1226,2586.2686,3387.9507,936.2278,2264.1907,3866.1777,1628.8992,2410.5959,4072.9897,1782.2427,2985.2988,1519.5636,2308.5332,1834.2896,2050.6147,2693.5588,2891.5476,2864.3237,3983.1636,2751.0168,2087.2581,2476.9685,2925.9685,2151.8386,3213.3767,2486.8018,3208.7893,2746.2261,3248.749,3044.5544,1243.8563,2606.301,2365.2314
sub2,353.9622,321.4225,180.8243,205.2385,645.6479,576.2482,1210.3408,410.2634,1505.6713,232.8214,1058.7577,738.2543,633.7452,908.9825,1183.8215,553.5774,199.8886,332.6662,407.0252,312.6234,740.5595,472.2997,141.7079,428.7726,408.1817,563.0004,350.9883,519.3287,535.6169,402.6846,439.913,230.172,561.7429,163.7188,173.6971
sub2,598.225,2644.4937,1847.1287,2145.478,775.4094,0.0,87.9476,1686.4973,-0.0695,1656.1633,698.493,229.6462,863.0215,24.4229,70.5338,334.4296,1586.7043,2135.9604,2115.0081,2277.2761,2899.5862,1454.1433,1605.9375,1577.9292,1622.3196,1045.3475,2160.6494,1370.3921,1713.7441,1518.0527,2243.0754,2433.7747,101.8076,2214.4014,1380.2834
sub2,2492.1064,4310.4106,2701.0925,3178.9141,5025.5093,1926.9377,4478.9502,5006.1748,4355.417,2925.8394,6604.6768,3077.1384,5347.0903,3307.2871,4577.8394,2665.9492,2526.8628,3599.0703,4090.8542,3676.1997,5986.8877,3797.8521,2448.8179,3718.4639,4129.5654,2842.6077,4393.2686,4145.0947,4627.4609,3861.0757,4336.8447,3667.7446,2325.2061,2995.2371,2762.877
sub2,1893.8815,1665.917,853.9639,1033.436,4250.0996,1926.9377,4391.0024,3319.6775,4355.4863,1269.676,5906.1836,2847.4922,4484.0688,3282.8643,4507.3057,2331.5195,940.1584,1463.1099,1975.8462,1398.9236,3087.3015,2343.7087,842.8804,2140.5347,2507.2458,1797.2601,2232.6191,2774.7026,2913.7168,2343.0229,2093.7693,1233.97,2223.3984,780.8357,1382.5935
sub2,5836.6,876.9,709.3,1996.8,1273.5,403.9,2562.0,4790.5,2642.6,876.2,4459.7,2180.8,2782.8,1511.5,2984.7,772.6,1534.0,1281.0,680.1,1265.2,1289.5,3828.1,1182.7,4673.9,3442.7,547.1,4953.1,6351.2,5018.3,3207.0,3387.9,258.0,447.4,303.3,1856.7
sub3,1431.8102,3146.7957,1924.3761,2394.512,4019.3943,577.5514,2308.5911,3917.4863,1971.5491,2137.2783,4689.0703,1503.1609,2898.5315,1036.4489,2724.0139,1411.1409,2136.3042,2482.4792,2795.7988,2651.4233,4083.2075,2532.9229,1901.9893,2333.7976,2767.7773,1826.5046,2979.2717,2304.9116,3354.6057,2456.4255,3193.9067,1885.5275,855.6973,2270.2505,2031.3215
sub3,326.0369,311.8059,126.9004,194.6391,873.4415,367.8171,915.009,538.881,1215.3954,195.4057,1015.1647,793.7145,763.7585,884.7698,722.6545,525.2714,217.955,293.2012,243.4069,333.8387,867.7592,296.4116,207.1052,313.8493,383.0513,538.2604,300.3799,379.1109,620.2202,412.2869,528.1462,478.4161,498.1045,125.183,140.5921
